Line;KM;Stop name;Befestigung text;Befestigung Auswahl;Type of display;Mounted on;Lighting;Second hand;EIGENTuMER;ANTEIL EIGENTUM;EIGENTuMER GRUPPE;IH-EA;IH-TC;FID;Geopos
415;80.296;Solothurn;Haengend;Haengend;Beidseitig;Dach_BE Perrondach 2;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38856002;47.203980616320905,7.542717706406216
420;8.059;Im Holz;Seitlich;Seitlich;Beidseitig;;;ja;BLS Netz AG;100;BLS;Mitte > Olten & Brugg;Mitte > Olten & Basel;169832327;47.23106458192432,7.475228268525003
421;5.899;Gerlafingen;Haengend;Haengend;Beidseitig;;ja;ja;BLS Netz AG;100;BLS;Mitte > Bern;Mitte > Bern;153076508;47.171347478586405,7.565331597050619
421;8.179;Wiler;;;Beidseitig;Dach_BE automatisiert;;ja;BLS Netz AG;100;BLS;Mitte > Bern;Mitte > Bern;257279207;47.15209030958145,7.555791295415276
421;19.644;Burgdorf Buchmatt;Seitlich;Seitlich;Beidseitig;Mast 9003;ja;nein;BLS Netz AG;100;BLS;Mitte > Bern;Mitte > Bern;38859795;47.065524380826645,7.608147477431006
430;18.698;Konolfingen;Haengend;Haengend;Beidseitig;Dach_BE Perrondach 5/6;ja;ja;SBB Infrastruktur;100;SBB;Mitte > Bern;Mitte > Bern;223164144;46.88066491361502,7.622069721935644
430;29.377;Heimberg;Seitlich;Seitlich;Beidseitig;Mast 19;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38858594;46.7909970726042,7.6060630890412
440;22.899;Burgdorf Steinhof;Haengend;Haengend;Beidseitig;Dach_BE automatisiert;;ja;BLS Netz AG;100;BLS;Mitte > Bern;Mitte > Bern;283633540;47.05159082019392,7.619170938492876
440;27.827;Hasle-Ruegsau;Hauswand;ANDERE;Einseitig;Gebaeude;nein;nein;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38859999;47.01627740988268,7.655538870876076
441;0.031;Langenthal;Haengend;Haengend;Beidseitig;;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38849534;47.216819075963386,7.7841582953931345
441;10.572;Rohrbach;Haengend;Haengend;Beidseitig;Dach_BE Velounterstanddach;ja;ja;BLS Netz AG;100;BLS;Mitte > Olten & Brugg;Mitte > Olten & Basel;249508988;47.13712496526438,7.814000226605798
445;11.093;Gettnau;;;Beidseitig;Dach_BE automatisiert;;;BLS Netz AG;100;BLS;Mitte > Olten & Brugg;Mitte > Olten & Basel;168181790;47.140011448022605,7.9702895473634845
445;25.225;Wolhusen;Haengend;Haengend;Beidseitig;Dach_BE Perrondach 1 AG - NG;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Luzern;Mitte > Luzern;38849312;47.05552361932957,8.079309742712308
450;66.676;Herzogenbuchsee;Seitlich;Seitlich;Beidseitig;Gebaeude;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38850574;47.188405089435506,7.701283674651469
450;66.701;Herzogenbuchsee;Haengend;Haengend;Beidseitig;Dach_BE Perrondach 1;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38858726;47.18821570467993,7.700983008494348
450;76.944;Wynigen;Seitlich;Seitlich;;Mast 48;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Olten & Brugg;Mitte > Olten & Basel;38849284;47.10519995311633,7.663281298092661
450;83.379;Burgdorf;Seitlich;Seitlich;Beidseitig;Gebaeude;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38856737;47.06070003824538,7.621855928965844
450;86.625;Lyssach;Seitlich;Seitlich;Beidseitig;Mast 100;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38856782;47.06329586972686,7.580480167115436
